
1,435,268,916,429,457
2,131,701,768,460,296
3,772,673,863,335,724
4,570,451,509,529,47
5,56,622,545,795,268
6,18,474,308,313,537
7,650,234,846,843,313
8,197,600,619,352,746
9,596,123,740,744,433
10,234,6,932,474,293
11,271,537,450,297,379
12,786,533,715,823,632
13,234,450,537,293,796
14,264,344,514,406,474
15,935,931,637,181,800
16,823,293,311,538,474
17,540,895,470,634,104
18,537,474,234,85,271
19,579,282,481,364,574
20,290,459,254,897,330
21,814,372,802,546,422
22,638,158,746,600,757
23,913,738,151,815,293
24,62,913,854,719,468
25,298,313,847,151,148
26,104,582,432,742,938
27,32,403,50,69,467
28,814,422,604,425,843
29,827,750,431,220,433
30,811,140,482,563,134
31,567,448,79,615,747
32,432,582,793,26,501
33,511,502,853,335,616
34,531,681,520,824,241
35,451,510,812,853,724
36,685,574,39,827,812
37,746,217,466,346,619
38,254,897,83,620,577
39,547,147,820,105,278
40,273,803,656,149,683
41,867,96,933,508,738
42,864,577,487,43,311
43,378,654,864,42,588
44,738,864,650,804,660
45,101,703,432,779,549
46,652,732,803,735,637
47,171,926,448,570,803
48,694,781,298,890,215
49,276,94,303,773,363
50,27,176,150,473,32
51,679,700,746,844,676
52,569,540,689,634,63
53,703,438,348,569,137
54,938,714,526,104,759
55,700,137,37,513,714
56,222,864,109,487,457
57,714,938,432,654,141
58,264,535,327,268,1
59,537,429,474,308,7
60,716,650,313,234,474
61,335,134,724,258,772
62,457,916,864,92,429
63,104,176,79,735,770
64,896,933,59,738,864
65,533,43,514,106,823
66,432,714,674,540,689
67,386,357,348,893,518
68,714,735,120,834,703
69,467,910,117,115,32
70,738,472,807,56,541
71,370,62,41,430,232
72,311,59,474,374,207
73,737,114,305,666,567
74,905,143,190,831,526
75,769,518,348,357,624
76,498,177,645,387,198
77,96,933,521,198,774
78,220,563,140,926,63
79,63,662,491,937,735
80,85,343,781,538,263
81,518,534,525,357,75
82,716,298,271,881,313
83,577,42,796,901,222
84,637,891,554,634,168
85,234,537,716,18,271
86,750,574,740,898,461
87,933,886,301,22,194
88,111,147,801,784,100
89,582,770,768,680,150
90,537,450,18,85,151
91,694,488,780,197,263
92,222,276,457,864,435
93,89,895,800,636,769
94,682,293,276,303,7
95,311,864,194,373,457
96,77,41,933,298,6
97,70,694,913,198,843
98,481,318,591,208,283
99,178,117,663,453,216
100,616,126,205,863,827
101,714,45,674,432,718
102,56,545,222,276,650
103,66,238,879,797,104
104,26,63,467,834,624
105,920,842,827,820,809
106,65,878,538,43,474
107,282,220,149,570,335
108,549,714,735,438,569
109,222,56,551,301,92
110,487,197,130,393,222
111,547,171,179,720,206
112,729,724,920,547,284
113,451,926,697,413,173
114,198,933,73,352,6
115,527,352,213,913,663
116,784,920,683,724,587
117,99,432,493,521,347
118,387,814,21,368,833
119,540,178,99,190,717
120,68,674,634,277,540
121,910,184,615,800,693
122,537,59,85,846,311
123,929,298,85,402,527
124,778,700,162,248,538
